Location,Plot Number,Size,Floor,Accommodation,Possession,Price,Facing,Park Facing,Corner,,,,,,,,,,,
DLF City Phase 1,A8/13,502 square feet,1st Floor,4 BHK,READY,8.5 crores,NORTHWEST,NO,NO,,,,,,,,,,,
DLF City Phase 1,A8/13,502 square feet,2nd Floor,4 BHK,READY,6.5 crores,NORTHWEST,NO,NO,,,,,,,,,,,
DLF City Phase 1,A8/13,502 square feet,3rd Floor,4 BHK,READY,6.5 crores,NORTHWEST,NO,NO,,,,,,,,,,,
DLF City Phase 1,A10/7,502 square feet,1st Floor,4 BHK,READY,6.4 crores,NORTHWEST,NO,NO,,,,,,,,,,,
DLF City Phase 1,A10/7,502 square feet,2nd Floor,4 BHK,READY,6.25 crores,NORTHWEST,NO,NO,,,,,,,,,,,
DLF City Phase 1,A10/7,502 square feet,3rd Floor,4 BHK,READY,6.25 crores,NORTHWEST,NO,NO,,,,,,,,,,,
DLF City Phase 1,A10/7,502 square feet,4th Floor,4 BHK,READY,6.9 crores,NORTHWEST,NO,NO,,,,,,,,,,,
DLF City Phase 1,A18/1,502 square feet,3rd Floor,4 BHK,READY,7.5 crores,NORTHWEST,NO,YES,,,,,,,,,,,
DLF City Phase 1,A18/1,502 square feet,4th Floor,4 BHK,READY,8.5 crores,NORTHWEST,NO,YES,,,,,,,,,,,
DLF City Phase 1,A45/14,200 square feet,1st Floor,3 BHK,READY,2.3 crores,SOUTHWEST,NO,NO,,,,,,,,,,,
DLF City Phase 1,A45/14,200 square feet,2nd Floor,3 BHK,READY,2.2 crores,SOUTHWEST,NO,NO,,,,,,,,,,,
DLF City Phase 1,A45/14,200 square feet,3rd Floor,3 BHK,READY,2.2 crores,SOUTHWEST,NO,NO,,,,,,,,,,,
DLF City Phase 1,A45/14,200 square feet,4th Floor,3 BHK,READY,2.4 crores,SOUTHWEST,NO,NO,,,,,,,,,,,
Sector 27,23,500 square feet,1st Floor,4 BHK,2M,5 crores,SOUTH,NO,NO,,,,,,,,,,,
Sector 27,23,500 square feet,2nd Floor,4 BHK,2M,4.5 crores,SOUTH,NO,NO,,,,,,,,,,,
Sector 27,23,500 square feet,3rd Floor,4 BHK,2M,4.5 crores,SOUTH,NO,NO,,,,,,,,,,,
Sector 27,23,500 square feet,4th Floor,4 BHK,2M,5 crores,SOUTH,NO,NO,,,,,,,,,,,
Sector 27,573,500 square feet,2nd Floor,4 BHK,2M,4.5 crores,NORTH,NO,NO,,,,,,,,,,,
Sector 27,573,500 square feet,3rd Floor,4 BHK,2M,4.5 crores,NORTH,NO,NO,,,,,,,,,,,
Sector 28,276,204 square feet,1st Floor,3 BHK,3M,2 crores,EAST,NO,NO,,,,,,,,,,,
Sector 28,276,204 square feet,2nd Floor,3 BHK,3M,1.9 crores,EAST,NO,NO,,,,,,,,,,,
Sector 28,276,204 square feet,3rd Floor,3 BHK,3M,1.9 crores,EAST,NO,NO,,,,,,,,,,,
Sector 42,621,204 square feet,2nd Floor,3 BHK,1M,2.2 crores,SOUTH,NO,NO,,,,,,,,,,,
Sector 42,621,204 square feet,3rd Floor,3 BHK,1M,2.2 crores,SOUTH,NO,NO,,,,,,,,,,,
Sector 42,636,204 square feet,2nd Floor,3 BHK,4M,2.3 crores,NORTH,NO,NO,,,,,,,,,,,
Sector 42,636,204 square feet,3rd Floor,3 BHK,4M,2.3 crores,NORTH,NO,NO,,,,,,,,,,,
Sector 42,711,204 square feet,1st Floor,3 BHK,1M,1.95 crores,NORTH,NO,NO,,,,,,,,,,,
Sector 42,711,204 square feet,2nd Floor,3 BHK,1M,1.9 crores,NORTH,NO,NO,,,,,,,,,,,
Sector 42,711,204 square feet,3rd Floor,3 BHK,1M,1.9 crores,NORTH,NO,NO,,,,,,,,,,,
Sector 42,711,204 square feet,4th Floor,3 BHK,1M,2 crores,NORTH,NO,NO,,,,,,,,,,,
Sector 42,702,204 square feet,1st Floor,3 BHK,15M,2.35 crores,NORTH,NO,NO,,,,,,,,,,,
Sector 42,702,204 square feet,2nd Floor,3 BHK,15M,2.2 crores,NORTH,NO,NO,,,,,,,,,,,
Sector 42,702,204 square feet,3rd Floor,3 BHK,15M,2.2 crores,NORTH,NO,NO,,,,,,,,,,,
Sector 42,702,204 square feet,4th Floor,3 BHK,15M,2.5 crores,NORTH,NO,NO,,,,,,,,,,,
Sector 42,58D,263 square feet,3rd Floor,3 BHK,1M,2.2 crores,EAST,NO,NO,,,,,,,,,,,
Sector 43,1006,204 square feet,2nd Floor,3 BHK,6M,2.5 crores,SOUTHEAST,NO,NO,,,,,,,,,,,
Sector 43,1006,204 square feet,3rd Floor,3 BHK,6M,2.5 crores,SOUTHEAST,NO,NO,,,,,,,,,,,
Sector 43,519,263 square feet,1st Floor,3 BHK,4M,2.75 crores,SOUTHWEST,NO,NO,,,,,,,,,,,
Sector 43,519,263 square feet,2nd Floor,3 BHK,4M,2.6 crores,SOUTHWEST,NO,NO,,,,,,,,,,,
Sector 43,519,263 square feet,3rd Floor,3 BHK,4M,2.65 crores,SOUTHWEST,NO,NO,,,,,,,,,,,
Sector 43,519,263 square feet,4th Floor,3 BHK,4M,2.75 crores,SOUTHWEST,NO,NO,,,,,,,,,,,
Sector 43,526,263 square feet,1st Floor,3 BHK,6M,4.25 crores,NORTHEAST,NO,YES,,,,,,,,,,,
Sector 43,736,263 square feet,1st Floor,3 BHK,2M,2.51 crores,SOUTHEAST,NO,NO,,,,,,,,,,,
Sector 43,736,263 square feet,2nd Floor,3 BHK,2M,2.45 crores,SOUTHEAST,NO,NO,,,,,,,,,,,
Sector 43,736,263 square feet,3rd Floor,3 BHK,2M,2.45 crores,SOUTHEAST,NO,NO,,,,,,,,,,,
Sector 43,736,263 square feet,4th Floor,3 BHK,2M,3 crores,SOUTHEAST,NO,NO,,,,,,,,,,,
Sector 43,660,263 square feet,2nd Floor,3 BHK,2M,2.5 crores,SOUTHEAST,NO,NO,,,,,,,,,,,
Sector 43,660,263 square feet,3rd Floor,3 BHK,2M,2.5 crores,SOUTHEAST,NO,NO,,,,,,,,,,,
Sector 43,47,342 square feet,2nd Floor,4 BHK,2M,3.6 crores,SOUTHWEST,NO,NO,,,,,,,,,,,
Sector 43,47,342 square feet,3rd Floor,4 BHK,2M,3.6 crores,SOUTHWEST,NO,NO,,,,,,,,,,,
Sector 46,1028,263 square feet,1st Floor,3 BHK,1M,2.35 crores,SOUTHEAST,NO,NO,,,,,,,,,,,
Sector 46,1028,263 square feet,3rd Floor,3 BHK,1M,2.25 crores,SOUTHEAST,NO,NO,,,,,,,,,,,
Sector 45,1880,263 square feet,1st Floor,3 BHK,2M,2.15 crores,SOUTHEAST,NO,NO,,,,,,,,,,,
Sector 45,1880,263 square feet,2nd Floor,3 BHK,2M,2.1 crores,SOUTHEAST,NO,NO,,,,,,,,,,,
Sector 45,1880,263 square feet,3rd Floor,3 BHK,2M,2.1 crores,SOUTHEAST,NO,NO,,,,,,,,,,,
Sector 45,1880,263 square feet,4th Floor,3 BHK,2M,2.5 crores,SOUTHEAST,NO,NO,,,,,,,,,,,
Sector 46,1354,263 square feet,1st Floor,3 BHK,3M,2.45 crores,SOUTHWEST,YES,NO,,,,,,,,,,,
Sector 46,1354,263 square feet,2nd Floor,3 BHK,3M,2.4 crores,SOUTHWEST,YES,NO,,,,,,,,,,,
Sector 46,1354,263 square feet,3rd Floor,3 BHK,3M,2.4 crores,SOUTHWEST,YES,NO,,,,,,,,,,,
Sector 46,1354,263 square feet,4th Floor,3 BHK,3M,2.5 crores,SOUTHWEST,YES,NO,,,,,,,,,,,
Sector 45,1022,204 square feet,1st Floor,3 BHK,8M,1.7 crores,SOUTHWEST,NO,NO,,,,,,,,,,,
Sector 45,1022,204 square feet,2nd Floor,3 BHK,8M,1.7 crores,SOUTHWEST,NO,NO,,,,,,,,,,,
Sector 45,1022,204 square feet,3rd Floor,3 BHK,8M,1.7 crores,SOUTHWEST,NO,NO,,,,,,,,,,,
Sector 45,1022,204 square feet,4th Floor,3 BHK,8M,1.7 crores,SOUTHWEST,NO,NO,,,,,,,,,,,
Sector 46,1699,263 square feet,1st Floor,3 BHK,1M,2.1 crores,SOUTHEAST,NO,NO,,,,,,,,,,,
Sector 46,1699,263 square feet,2nd Floor,3 BHK,1M,2 crores,SOUTHEAST,NO,NO,,,,,,,,,,,
Sector 46,1699,263 square feet,4th Floor,3 BHK,1M,2.25 crores,SOUTHEAST,NO,NO,,,,,,,,,,,
Sector 46,1880,204 square feet,1st Floor,3 BHK,2M,1.9 crores,NORTHEAST,NO,NO,,,,,,,,,,,
Sector 46,1880,204 square feet,2nd Floor,3 BHK,2M,1.8 crores,NORTHEAST,NO,NO,,,,,,,,,,,
Sector 46,1880,204 square feet,3rd Floor,3 BHK,2M,1.8 crores,NORTHEAST,NO,NO,,,,,,,,,,,
Sector 46,1880,204 square feet,4th Floor,3 BHK,2M,1.9 crores,NORTHEAST,NO,NO,,,,,,,,,,,
Sector 45,314,342 square feet,1st Floor,4 BHK,3M,3.25 crores,SOUTHEAST,NO,NO,,,,,,,,,,,
Sector 45,314,342 square feet,2nd Floor,4 BHK,3M,3 crores,SOUTHEAST,NO,NO,,,,,,,,,,,
Sector 45,314,342 square feet,3rd Floor,4 BHK,3M,3 crores,SOUTHEAST,NO,NO,,,,,,,,,,,
Sector 45,314,342 square feet,4th Floor,4 BHK,3M,3.5 crores,SOUTHEAST,NO,NO,,,,,,,,,,,
Sector 38,804H,212 square feet,3rd Floor,3 BHK,2M,1.5 crores,SOUTH,NO,YES,,,,,,,,,,,
Sector 38,804H,212 square feet,4th Floor,3 BHK,2M,1.45 crores,SOUTH,NO,YES,,,,,,,,,,,
DLF City Phase 1,B5/5,358 square feet,3rd Floor,4 BHK,READY,4.8 crores,NORTHEAST,NO,NO,,,,,,,,,,,
DLF City Phase 1,A7/16,502 square feet,1st Floor,4 BHK,READY,6.25 crores,SOUTHEAST,NO,NO,,,,,,,,,,,
DLF City Phase 1,A7/16,502 square feet,2nd Floor,4 BHK,READY,6 crores,SOUTHEAST,NO,NO,,,,,,,,,,,
DLF City Phase 1,D4/26,502 square feet,2nd Floor,4 BHK,READY,5.5 crores,NORTHEAST,NO,NO,,,,,,,,,,,
DLF City Phase 1,E6/11,300 square feet,1st Floor,4 BHK,READY,4.25 crores,SOUTHEAST,NO,YES,,,,,,,,,,,
DLF City Phase 1,E6/11,300 square feet,2nd Floor,4 BHK,READY,4 crores,SOUTHEAST,NO,YES,,,,,,,,,,,
DLF City Phase 1,E6/11,300 square feet,3rd Floor,4 BHK,READY,4 crores,SOUTHEAST,NO,YES,,,,,,,,,,,
DLF City Phase 1,E2/19,300 square feet,2nd Floor,4 BHK,READY,4 crores,NORTHEAST,NO,NO,,,,,,,,,,,
DLF City Phase 1,E2/19,300 square feet,3rd Floor,4 BHK,READY,4 crores,NORTHEAST,NO,NO,,,,,,,,,,,
Sushant Lok 1,A1046,215 square feet,1st Floor,3 BHK,4M,2.55 crores,WEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,A1046,215 square feet,4th Floor,3 BHK,4M,2.75 crores,WEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,A215A,418 square feet,1st Floor,4 BHK,2M,4.9 crores,NORTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,A215A,418 square feet,2nd Floor,4 BHK,2M,4.75 crores,NORTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,A215A,418 square feet,3rd Floor,4 BHK,2M,4.75 crores,NORTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,A1065,400 square feet,1st Floor,4 BHK,1M,4.25 crores,WEST,NO,YES,,,,,,,,,,,
Sushant Lok 1,A1065,400 square feet,2nd Floor,4 BHK,1M,4 crores,WEST,NO,YES,,,,,,,,,,,
Sushant Lok 1,A1131,418 square feet,1st Floor,4 BHK,3M,5 crores,EAST,NO,NO,,,,,,,,,,,
Sushant Lok 1,A1131,418 square feet,2nd Floor,4 BHK,3M,4.8 crores,EAST,NO,NO,,,,,,,,,,,
Sushant Lok 1,A1131,418 square feet,3rd Floor,4 BHK,3M,4.8 crores,EAST,NO,NO,,,,,,,,,,,
Sushant Lok 1,A1131,418 square feet,4th Floor,4 BHK,3M,5 crores,EAST,NO,NO,,,,,,,,,,,
Sushant Lok 1,A660,300 square feet,1st Floor,4 BHK,1M,3.9 crores,NORTH,NO,YES,,,,,,,,,,,
Sushant Lok 1,A660,300 square feet,2nd Floor,4 BHK,1M,3.8 crores,NORTH,NO,YES,,,,,,,,,,,
Sushant Lok 1,A660,300 square feet,3rd Floor,4 BHK,1M,3.8 crores,NORTH,NO,YES,,,,,,,,,,,
Sushant Lok 1,A660,300 square feet,4th Floor,4 BHK,1M,4.25 crores,NORTH,NO,YES,,,,,,,,,,,
Sushant Lok 1,A696,418 square feet,1st Floor,4 BHK,7M,6 crores,EAST,NO,NO,,,,,,,,,,,
Sushant Lok 1,A696,418 square feet,2nd Floor,4 BHK,7M,5.25 crores,EAST,NO,NO,,,,,,,,,,,
Sushant Lok 1,A696,418 square feet,3rd Floor,4 BHK,7M,5.25 crores,EAST,NO,NO,,,,,,,,,,,
Sushant Lok 1,A696,418 square feet,4th Floor,4 BHK,7M,6.5 crores,EAST,NO,NO,,,,,,,,,,,
Sushant Lok 1,B281,215 square feet,1st Floor,3 BHK,6M,Price on Request crores,WEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,B281,215 square feet,2nd Floor,3 BHK,6M,Price on Request crores,WEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,B281,215 square feet,3rd Floor,3 BHK,6M,Price on Request crores,WEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,B281,215 square feet,4th Floor,3 BHK,6M,Price on Request crores,WEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C1/2789,300 square feet,1st Floor,4 BHK,6M,Price on Request crores,SOUTHWEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C1/2789,300 square feet,2nd Floor,4 BHK,6M,Price on Request crores,SOUTHWEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C1/2789,300 square feet,3rd Floor,4 BHK,6M,Price on Request crores,SOUTHWEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C1/2789,300 square feet,4th Floor,4 BHK,6M,Price on Request crores,SOUTHWEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C139A,418 square feet,1st Floor,4 BHK,6M,4.98 crores,WEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C139A,418 square feet,2nd Floor,4 BHK,6M,4.88 crores,WEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C139A,418 square feet,3rd Floor,4 BHK,6M,4.88 crores,WEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C139A,418 square feet,4th Floor,4 BHK,6M,5.68 crores,WEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C1827,300 square feet,1st Floor,4 BHK,6M,3.15 crores,NORTHEAST,NO,YES,,,,,,,,,,,
Sushant Lok 1,C1827,300 square feet,2nd Floor,4 BHK,6M,3 crores,NORTHEAST,NO,YES,,,,,,,,,,,
Sushant Lok 1,C1827,300 square feet,3rd Floor,4 BHK,6M,3 crores,NORTHEAST,NO,YES,,,,,,,,,,,
Sushant Lok 1,C2094A,300 square feet,1st Floor,4 BHK,1M,3.25 crores,SOUTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,C2094A,300 square feet,2nd Floor,4 BHK,1M,2.95 crores,SOUTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,C2094A,300 square feet,3rd Floor,4 BHK,1M,2.95 crores,SOUTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,C2094A,300 square feet,4th Floor,4 BHK,1M,3.85 crores,SOUTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,C2633,418 square feet,1st Floor,4 BHK,6M,4.25 crores,EAST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C2633,418 square feet,2nd Floor,4 BHK,6M,4 crores,EAST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C2633,418 square feet,3rd Floor,4 BHK,6M,4 crores,EAST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C2633,418 square feet,4th Floor,4 BHK,6M,4.75 crores,EAST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C266,215 square feet,1st Floor,3 BHK,4M,2.6 crores,SOUTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,C266,215 square feet,2nd Floor,3 BHK,4M,2.5 crores,SOUTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,C266,215 square feet,3rd Floor,3 BHK,4M,2.5 crores,SOUTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,C266,215 square feet,4th Floor,3 BHK,4M,2.8 crores,SOUTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,C273,215 square feet,1st Floor,3 BHK,4M,2.8 crores,NORTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,C273,215 square feet,2nd Floor,3 BHK,4M,2.55 crores,NORTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,C273,215 square feet,3rd Floor,3 BHK,4M,2.55 crores,NORTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,C273,215 square feet,4th Floor,3 BHK,4M,2.65 crores,NORTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,C288,215 square feet,4th Floor,3 BHK,1M,2.5 crores,SOUTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,C443,300 square feet,1st Floor,4 BHK,4M,3.75 crores,NORTH,YES,NO,,,,,,,,,,,
Sushant Lok 1,C443,300 square feet,2nd Floor,4 BHK,4M,3.6 crores,NORTH,YES,NO,,,,,,,,,,,
Sushant Lok 1,C443,300 square feet,3rd Floor,4 BHK,4M,3.6 crores,NORTH,YES,NO,,,,,,,,,,,
Sushant Lok 1,C443,300 square feet,4th Floor,4 BHK,4M,Price on Request crores,NORTH,YES,NO,,,,,,,,,,,
Sushant Lok 1,C468,270 square feet,2nd Floor,3 BHK,5M,3.6 crores,EAST,NO,YES,,,,,,,,,,,
Sushant Lok 1,C468,270 square feet,4th Floor,3 BHK,5M,4 crores,EAST,NO,YES,,,,,,,,,,,
Sushant Lok 1,C620,215 square feet,1st Floor,3 BHK,6M,2.6 crores,WEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C620,215 square feet,2nd Floor,3 BHK,6M,2.5 crores,WEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C620,215 square feet,3rd Floor,3 BHK,6M,2.5 crores,WEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C620,215 square feet,4th Floor,3 BHK,6M,2.75 crores,WEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C894,215 square feet,1st Floor,3 BHK,6M,Price on Request crores,SOUTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,C894,215 square feet,2nd Floor,3 BHK,6M,Price on Request crores,SOUTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,C894,215 square feet,3rd Floor,3 BHK,6M,Price on Request crores,SOUTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,C894,215 square feet,4th Floor,3 BHK,6M,Price on Request crores,SOUTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,E59,300 square feet,1st Floor,4 BHK,6M,4 crores,EAST,YES,NO,,,,,,,,,,,
Sushant Lok 1,E59,300 square feet,2nd Floor,4 BHK,6M,3.5 crores,EAST,YES,NO,,,,,,,,,,,
Sushant Lok 1,E59,300 square feet,3rd Floor,4 BHK,6M,3.5 crores,EAST,YES,NO,,,,,,,,,,,
Sushant Lok 1,E59,300 square feet,4th Floor,4 BHK,6M,4 crores,EAST,YES,NO,,,,,,,,,,,
Sushant Lok 1,C1/2811,240 square feet,1st Floor,3 BHK,READY,2.65 crores,EAST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C1/2811,240 square feet,2nd Floor,3 BHK,READY,2.5 crores,EAST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C141A,418 square feet,3rd Floor,4 BHK,READY,4.45 crores,WEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C141A,418 square feet,4th Floor,4 BHK,READY,4.9 crores,WEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C2612,300 square feet,3rd Floor,4 BHK,READY,3 crores,EAST,YES,NO,,,,,,,,,,,
Sushant Lok 1,C771,215 square feet,1st Floor,3 BHK,READY,2.6 crores,WEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C771,215 square feet,3rd Floor,3 BHK,READY,2.4 crores,WEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,A1060,300 square feet,1st Floor,4 BHK,12M,Price on Request crores,WEST,YES,NO,,,,,,,,,,,
Sushant Lok 1,A1060,300 square feet,2nd Floor,4 BHK,12M,Price on Request crores,WEST,YES,NO,,,,,,,,,,,
Sushant Lok 1,A1060,300 square feet,3rd Floor,4 BHK,12M,Price on Request crores,WEST,YES,NO,,,,,,,,,,,
Sushant Lok 1,A1060,300 square feet,4th Floor,4 BHK,12M,Price on Request crores,WEST,YES,NO,,,,,,,,,,,
Sushant Lok 1,A231,280 square feet,1st Floor,4 BHK,8M,3.65 crores,NORTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,A231,280 square feet,2nd Floor,4 BHK,8M,3.45 crores,NORTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,A231,280 square feet,3rd Floor,4 BHK,8M,3.45 crores,NORTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,A231,280 square feet,4th Floor,4 BHK,8M,3.85 crores,NORTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,A267,1000 square feet,3rd Floor,5 BHK,6M,12.5 crores,EAST,NO,NO,,,,,,,,,,,
Sushant Lok 1,A267,1000 square feet,4th Floor,5 BHK,6M,12.5 crores,EAST,NO,NO,,,,,,,,,,,
Sushant Lok 1,A444,977 square feet,1st Floor,5 BHK,6M,Price on Request crores,SOUTH,YES,NO,,,,,,,,,,,
Sushant Lok 1,A444,977 square feet,2nd Floor,5 BHK,6M,Price on Request crores,SOUTH,YES,NO,,,,,,,,,,,
Sushant Lok 1,A444,977 square feet,3rd Floor,5 BHK,6M,Price on Request crores,SOUTH,YES,NO,,,,,,,,,,,
Sushant Lok 1,A444,977 square feet,4th Floor,5 BHK,6M,Price on Request crores,SOUTH,YES,NO,,,,,,,,,,,
Sushant Lok 1,A547A,500 square feet,1st Floor,4 BHK,6M,6.1 crores,NORTH,NO,YES,,,,,,,,,,,
Sushant Lok 1,A547A,500 square feet,2nd Floor,4 BHK,6M,5.5 crores,NORTH,NO,YES,,,,,,,,,,,
Sushant Lok 1,A547A,500 square feet,3rd Floor,4 BHK,6M,5.5 crores,NORTH,NO,YES,,,,,,,,,,,
Sushant Lok 1,A547A,500 square feet,4th Floor,4 BHK,6M,6.4 crores,NORTH,NO,YES,,,,,,,,,,,
Sushant Lok 1,A548,813 square feet,1st Floor,5 BHK,18M,Price on Request crores,NORTH,NO,YES,,,,,,,,,,,
Sushant Lok 1,A548,813 square feet,2nd Floor,5 BHK,18M,Price on Request crores,NORTH,NO,YES,,,,,,,,,,,
Sushant Lok 1,A548,813 square feet,3rd Floor,5 BHK,18M,Price on Request crores,NORTH,NO,YES,,,,,,,,,,,
Sushant Lok 1,A548,813 square feet,4th Floor,5 BHK,18M,Price on Request crores,NORTH,NO,YES,,,,,,,,,,,
Sushant Lok 1,A565C,500 square feet,2nd Floor,4 BHK,1M,5.25 crores,NORTH,NO,YES,,,,,,,,,,,
Sushant Lok 1,A565C,500 square feet,3rd Floor,4 BHK,1M,5.25 crores,NORTH,NO,YES,,,,,,,,,,,
Sushant Lok 1,A565C,500 square feet,4th Floor,4 BHK,1M,5.5 crores,NORTH,NO,YES,,,,,,,,,,,
Sushant Lok 1,A569,813 square feet,1st Floor,5 BHK,8M,Price on Request crores,SOUTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,A569,813 square feet,2nd Floor,5 BHK,8M,Price on Request crores,SOUTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,A569,813 square feet,3rd Floor,5 BHK,8M,Price on Request crores,SOUTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,A569,813 square feet,4th Floor,5 BHK,8M,Price on Request crores,SOUTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,A607A,300 square feet,1st Floor,4 BHK,5M,Price on Request crores,SOUTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,A607A,300 square feet,2nd Floor,4 BHK,5M,Price on Request crores,SOUTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,A607A,300 square feet,3rd Floor,4 BHK,5M,Price on Request crores,SOUTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,A607A,300 square feet,4th Floor,4 BHK,5M,Price on Request crores,SOUTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,A619,418 square feet,2nd Floor,4 BHK,2M,4 crores,WEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,A643,215 square feet,1st Floor,3 BHK,2M,2.7 crores,WEST,NO,YES,,,,,,,,,,,
Sushant Lok 1,A643,215 square feet,2nd Floor,3 BHK,2M,2.6 crores,WEST,NO,YES,,,,,,,,,,,
Sushant Lok 1,A643,215 square feet,3rd Floor,3 BHK,2M,2.6 crores,WEST,NO,YES,,,,,,,,,,,
Sushant Lok 1,A695,418 square feet,1st Floor,4 BHK,4M,5.5 crores,EAST,NO,NO,,,,,,,,,,,
Sushant Lok 1,A695,418 square feet,2nd Floor,4 BHK,4M,4.9 crores,EAST,NO,NO,,,,,,,,,,,
Sushant Lok 1,A695,418 square feet,3rd Floor,4 BHK,4M,4.9 crores,EAST,NO,NO,,,,,,,,,,,
Sushant Lok 1,A695,418 square feet,4th Floor,4 BHK,4M,6 crores,EAST,NO,NO,,,,,,,,,,,
Sushant Lok 1,A725,300 square feet,1st Floor,4 BHK,10M,Price on Request crores,EAST,YES,NO,,,,,,,,,,,
Sushant Lok 1,A725,300 square feet,2nd Floor,4 BHK,10M,Price on Request crores,EAST,YES,NO,,,,,,,,,,,
Sushant Lok 1,A725,300 square feet,3rd Floor,4 BHK,10M,Price on Request crores,EAST,YES,NO,,,,,,,,,,,
Sushant Lok 1,A725,300 square feet,4th Floor,4 BHK,10M,Price on Request crores,EAST,YES,NO,,,,,,,,,,,
Sushant Lok 1,A731,300 square feet,1st Floor,4 BHK,3M,3.5 crores,EAST,NO,NO,,,,,,,,,,,
